question,answer
Which steps are needed for filling a claim?,"Firstly, relevant documentation such as the invoice should be kept. Afterwards, you should contact the customer support team, state the reasons for the claim and send the needed documents. The customer support team will reach out with the resolution of the claim as soon as possible."
What is the current status of my order?,"After logging in, you can find a list of your orders in the ''My orders'' section. After you click on a chosen order, you will see its' current status."
How do I cancel an order?,"After you log into your account and go to the ''My orders'' section, you should select the order in question and click on ''Cancel order''. You will be asked for confirmation about the decision. If further assistance is needed, you may contact the customer support team."
How do I download an order's invoice?,"While being logged into your account, you should go to the ''My orders'' section and click on ''Invoice''. The invoice is available as a PDF file."
Which payment methods are available?,"One can make a payment using a credit or debit card (e.g. Visa or Mastercard), by making a bank transfer or by using Google Pay, Apple Pay, or PayPal."
How can I modify the shipping address?,"If you haven't made an order yet, you can navigate to the section called ''My account'', and click on ''Personal information''. You can then edit the shipping address. If you already made an order and the given shipping address is not the correct one, you may contact the customer service team for further assistance."
When can I expect my order to arrive?,"You can view the estimated delivery period for a specific order by finding it in the list shown in the ''My orders'' section and by selecting the said order."
How do I unsubscribe from the newsletter?,"After logging into your account, you can click on ''My account'' and then on ''Newsletter''. The final step is selecting ''Unsubscribe from the newsletter''."
When can the customer support team be contacted?,"The customer support team is reachable 24/7, so everyday at any time."
What should I do if I encounter problems while trying to pay for an order?,"First of all, you should check if the given information about your chosen payment method was typed correctly. If this also fails, you may try another payment method, or contact the payment provider or the customer support team and explain the issue."
